date and time now = 24/02/2021 15:03:08
Ticker      24H Total    Prev    Recent    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
CFO             25083      54     25029     24975          0             24742                     18        26          160                    0             20                     112              5             0    65.430          1.063           2.366        82.865  N/A             N/A                                     N/A
CPI             14910       7     14903     14896          0             14743                      0         0            0                    0             63                     104              0             0    27.291          0.022           0.123       -83.992  N/A             N/A                                     N/A
GDP             14785       0     14785     14785          1             14785                      0         0            0                    0              0                       0              0             0    10.785          1.268           4.431       -66.956  7644843         Oil & Gas E&P                           0.026600001
TSLA            11601    2407      9194      6787         32             10015                     27      1101          148                    0             53                      41            140            76   732.500          4.817         -11.178       -20.753  771319079       Auto Manufacturers                      0.0679
RISE             7302       0      7302      7302          0              7294                      8         0            0                    0              0                       0              0             0    19.945         -0.275           0.000         0.000  N/A             N/A                                     N/A
PLTR             6833    1019      5814      4795         69              4628                     -1      2164            0                    0              0                      21             21             0    26.100         -2.430         -12.804       -10.376  1045816661      Software—Infrastructure                 0.0417
FAM              3144    1777      1367      -410          0                 0                   3144         0            0                    0              0                       0              0             0    10.217         -0.806          -2.978       -14.028  N/A             Asset Management                        0.0027
INDEX            2856       0      2856      2856          0              2856                      0         0            0                    0              0                       0              0             0    40.810          0.320           3.408         0.000  N/A             N/A                                     N/A
ARE              2707     565      2142      1577         14              1394                   1084         0            0                    0              5                      57            167             0   164.270          0.391          -2.605       -20.458  134981353       REIT—Office                             0.0506
RUN              2589    2589         0     -2589          0              2567                      0        11           11                    0              0                       0              0             0    61.565          2.047         -22.088       -26.651  173562100       Solar                                   0.1533
NOK              2185      75      2110      2035          6              2152                     33         0            0                    0              0                       0              0             0     4.015          1.646          -6.526       -53.840  4758524992      Communication Equipment                 N/A
CCIV             1933     420      1513      1093          3              1380                     57         0            0                    0             36                      98            331            31    28.630        -18.688           5.655       253.087  N/A             Shell Companies                         N/A
WKHS             1904       0      1904      1904          0              1372                     19       362            0                    0              0                      27             49            75    14.860         -9.748         -51.493       489.630  112469372       Auto Manufacturers                      0.2209
LOVE             1877      41      1836      1795         15              1653                    182         1            0                    0              0                      41              0             0    61.460          2.280          16.297        -5.815  13003828        Furnishings, Fixtures & Appliances      0.23030001
SAFE             1867      23      1844      1821          0                 0                     23         0         1844                    0              0                       0              0             0    82.520         -0.121           7.004       -15.407  18145787        REIT—Diversified                        0.0559
EPS              1379      81      1298      1217          2              1067                     12        81          154                    0             42                       0             23             0    42.110          0.838           2.441        36.547  N/A             N/A                                     N/A
CAN              1293     388       905       517         51               216                   1077         0            0                    0              0                       0              0             0    18.245          2.731         121.871       -14.434  80825530        Computer Hardware                       N/A
NIO              1280     505       775       270          0               618                      0       291          148                    0              0                      21            130            72    51.040          3.930         -11.852       -39.769  1118305581      Auto Manufacturers                      N/A
PLUG             1151    1069        82      -987         11               626                     43       253            0                    0              0                      98            131             0    48.670          4.487         -18.576       -44.282  397637888       Electrical Equipment & Parts            0.0837
ONE              1139     294       845       551          0               814                     33         0          148                  122             21                       0              1             0     3.625         -0.956          -6.160        -5.648  67957305        Education & Training Services           N/A
BIDU             1124    1021       103      -918          0                 0                      0       967            0                    0              0                       0            157             0   304.885         -5.494          16.708         3.806  266881933       Internet Content & Information          N/A
OSK              1113       8      1105      1097          6               849                     14       250            0                    0              0                       0              0             0   112.824          2.923          18.714       376.499  67872872        Farm & Heavy Construction Machinery     0.025999999
SNDL             1049      78       971       893          2               831                    103         0            0                    0              0                      96             19             0     1.350          7.143          24.125       -49.190  436611788       Drug Manufacturers—Specialty & Generic  0.0552
MSFT             1026     649       377      -272         11               991                      8        15           -1                    0              0                       0             13             0   234.020          0.322           1.364       -35.644  7430892662      Software—Infrastructure                 0.0058999998
USPS             1001       8       993       985          3               679                      0       309            0                    0              0                       0              3            10     0.030         -2.922          31.826        65.631  N/A             Leisure                                 N/A
CIA               991     627       364      -263         11               991                      0         0            0                    0              0                       0              0             0     6.380          4.590           6.198         5.166  44213581        Insurance—Life                          0.1346
AAL               991     131       860       729          2               860                     58        16            0                    0              0                      57              0             0    21.805          5.542          30.887       -10.174  632664953       Airlines                                0.21030001
OPEN              977     915        62      -853          3                36                    182       759            0                    0              0                       0              0             0    30.050          7.169           5.201        12.530  32670227        Real Estate Services                    N/A
AMD               962     427       535       108         20               916                      1         1            0                    0              0                      21             23             0    86.050          1.546          -5.262       -19.891  1204278811      Semiconductors                          0.0653
POST              931     860        71      -789          0                23                    908         0            0                    0              0                       0              0             0    98.095         -0.472          -0.014       -52.068  52611435        Packaged Foods                          0.035
ALB               895     354       541       187          0               541                      0       178            0                    0             66                       0            110             0   160.510          3.809          -4.439       -23.461  116196234       Specialty Chemicals                     0.0366
CIO               872       0       872       872          0               832                      0         0           40                    0              0                       0              0             0    11.010          2.134          11.984       -32.166  42306113        REIT—Office                             0.0159
ARKW              856     809        47      -762          0                 0                      0       737           57                    0              0                      21             41             0   169.700         -0.270           1.326        37.712  N/A             N/A                                     N/A
AAPL              852      42       810       768          0               597                     25        95           47                    0              4                      21             63             0   124.445         -1.124          -6.666       -14.107  16770972142     Consumer Electronics                    0.0055
DON               851     355       496       141          6               315                    286         0            0                    0            250                       0              0             0    39.085          1.651           6.488       -60.808  N/A             N/A                                     N/A
SPOT              847     747       100      -647          0                 0                      0       803            0                    0              0                       0             44             0   330.910         -1.606          -1.022       -26.473  136346471       Internet Content & Information          0.0293
ARKK              842     734       108      -626          0                -1                      0       800            0                    0              0                      21             22             0   137.355         -1.212          -5.027       101.924  N/A             N/A                                     N/A
SURF              813     813         0      -813          0                 0                     23       733            0                    0              0                      57              0             0     8.970         -0.664         -19.831       -37.864  29880400        Biotechnology                           0.059299998
ABC               809     808         1      -807          0               804                      0         4            0                    0              0                       0              1             0   105.120         -1.268          -0.819       -47.174  147337251       Medical Distribution                    0.0186
BEAM              798     733        65      -668          0                 0                      0       733            0                    0              0                       0              0            65    94.610         -1.938          -6.866         0.001  31252030        Biotechnology                           0.13260001
TWTR              794     747        47      -700          0                47                      0       747            0                    0              0                       0              0             0    72.350         -1.121          29.672       -19.756  776210800       Internet Content & Information          0.0254
PYPL              754     747         7      -740          0                 7                      0       747            0                    0              0                       0              0             0   264.800         -0.075           3.186        -5.495  1169770349      Credit Services                         0.0135
ROKU              737     733         4      -729          0                 0                      1       733            0                    0              0                       0              3             0   409.290         -1.582          -2.588       -34.390  109078855       Entertainment                           0.0273
TSM               736     733         3      -730          4                 2                      0       734            0                    0              0                       0              0             0   131.520          1.875           2.938        -6.551  4504715180      Semiconductors                          N/A
REGN              735     733         2      -731          0                 0                      0       733            0                    0              0                       0              2             0   459.790         -1.761          -8.368       -22.965  99403766        Biotechnology                           0.025
TWST              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   139.055          2.783         -18.190       -26.634  45514164        Diagnostics & Research                  0.0396
MTLS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    49.730         -1.035         -27.405        21.109  20578099        Software—Application                    N/A
SSYS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    35.205         -0.998         -11.270       -18.207  54189425        Computer Hardware                       0.1252
AVAV              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   117.445          4.109          -1.042       -29.457  21865854        Aerospace & Defense                     0.0735
HON               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   211.060          2.936           3.384       -17.110  659759354       Specialty Industrial Machinery          0.0073
RAVN              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    41.960          3.656          15.471       -50.439  35346778        Specialty Industrial Machinery          0.028900001
HUBS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   516.830          2.625          23.922       -45.427  43956336        Software—Application                    0.028900001
ARKQ              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    90.585          0.885          -0.189        33.962  N/A             N/A                                     N/A
FATE              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    94.730         -0.786          -7.698       -62.435  73821538        Biotechnology                           0.1488
EXPC              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    16.445          0.458          10.273       -48.023  1358736         Shell Companies                         N/A
CMLF              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    20.150          3.016          34.663        15.000  N/A             Shell Companies                         N/A
TXG               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   179.350          1.851           1.809       -47.819  76600815        Health Information Services             0.012
SGFY              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    36.185          2.246          -1.445       -75.781  71672           Health Information Services             N/A
RPTX              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    33.160          2.251         -11.571         7.850  13942396        Biotechnology                           0.0298
CRM               733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   240.540          2.079           4.919       -55.056  881748900       Software—Application                    0.0293
CDNA              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    78.610          1.892          -6.466       -44.706  48442502        Diagnostics & Research                  0.1017
TCEHY             733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0    88.520         -2.436          -0.060        -7.800  5806234240      Internet Content & Information          N/A
ANSS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   382.840          1.938           2.118       -43.286  85551755        Software—Application                    0.0128
EXAS              733     733         0      -733          0                 0                      0       733            0                    0              0                       0              0             0   134.640         -2.934          -5.809       -37.043  167503686       Diagnostics & Research                  0.0574
IDEX              685      80       605       525          0               541                     43         0            0                    0             24                      77              0             0     3.455          6.966          -8.839       -56.878  214082498       Software—Application                    0.1099
VERY              679      62       617       555         26                 0                    639        41            0                    1             -1                       0             -1             0    10.607          3.583          11.818       -80.033  1841228         Insurance—Life                          0.0084
GAIN              670     670         0      -670          3               670                      0         0            0                    0              0                       0              0             0    11.920          2.055           8.695       -46.557  N/A             Asset Management                        0.015700001
CDC               666     627        39      -588         11               666                      0         0            0                    0              0                       0              0             0    58.960          1.398           5.927       -29.109  N/A             N/A                                     N/A
CTXR              661      80       581       501          1                 0                     30         0            0                    0            360                     271              0             0     2.220         -5.128          69.675       177.644  67620225        Biotechnology                           0.041199997
THCB              660       0       660       660          0               546                     29         0            0                    0              0                      20              0            65    17.205        -16.804          -2.725        42.513  388666          Shell Companies                         0.015
GOEV              659      93       566       473          2               658                      0         0            0                    0              1                       0              0             0    14.050          6.683         -13.142       -52.366  14498167        Auto Manufacturers                      N/A
HITIF             657       0       657       657          0                 0                      2         0            0                    0            655                       0              0             0     0.618         -0.403          34.171         0.872  198900007       Pharmaceutical Retailers                N/A
MOST              657      11       646       635          8                 0                    654         0            0                    0              2                       1              0             0     3.500          0.000          -2.459        33.820  13687426        Health Information Services             N/A
FSR               634       0       634       634          0               555                     14         0            0                    0              0                       0              0            65    22.740         39.595          43.619       513.412  133843577       Auto Manufacturers                      N/A
WWW               627     627         0      -627         11               627                      0         0            0                    0              0                       0              0             0    36.740          2.483          15.294       -46.025  80559198        Footwear & Accessories                  0.0558
VALE              619      78       541       463          0               541                      0         0            0                    0             78                       0              0             0    18.065          0.922           2.774       -48.383  4532686710      Other Industrial Metals & Mining        N/A
BLNK              606       0       606       606          0               541                      0         0            0                    0              0                       0              0            65    41.360          6.625         -15.203       -68.585  27694825        Specialty Retail                        0.24870001
LAC               606      65       541       476          0               540                      0         0            0                    0             66                       0              0             0    19.830          7.247          -3.318       -50.981  79859436        Other Industrial Metals & Mining        N/A
SPY               604     290       314        24          1               144                      0       234            0                    0              7                       0            154            65   391.340          0.991           2.307       -13.889  N/A             N/A                                     N/A
RIDE              583       0       583       583          0               541                     42         0            0                    0              0                       0              0             0    20.895          6.120         -16.697       -29.964  99482345        Auto Manufacturers                      N/A
QQQ               580     289       291         2          0                90                      0       269           14                    0             32                       0            164            11   322.911          0.445          -0.206        71.519  N/A             N/A                                     N/A
AYRO              559       0       559       559          0               541                      0         0            0                    0             18                       0              0             0     7.575         11.726           1.690       -38.492  12149895        Auto Manufacturers                      0.1275
EXROF             556       0       556       556          0               541                      0         0            0                    0             15                       0              0             0     4.830         -0.872          28.270       -29.826  99373161        Electrical Equipment & Parts            N/A
CAAS              554      13       541       528          0               541                      0         0            0                    0             13                       0              0             0     6.000          2.566         -11.017       -94.813  8195774         Auto Parts                              0.0074
NGA               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    18.750         -2.140         -26.994       -57.839  N/A             Shell Companies                         N/A
NIU               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    39.380          1.600          -7.857       -64.372  39420352        Auto Manufacturers                      N/A
APTV              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0   154.400          1.807           7.075       -13.883  268205403       Auto Parts                              0.0163
AMVMF             541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    36.730         -7.364           7.436       -85.493  26874057        Other Industrial Metals & Mining        N/A
SBE               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    34.470          3.888         -13.052       -73.637  23298105        Shell Companies                         N/A
LAND              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    18.780          3.872          14.578       -37.350  21760857        REIT—Industrial                         0.0179
BHP               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    79.760          1.411          12.171       -14.452  2506679045      Other Industrial Metals & Mining        N/A
SQM               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    57.610          1.533           3.996       -28.053  63519849        Chemicals                               N/A
BYDDY             541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    56.360         -0.248         -12.792        47.871  777070570       Auto Manufacturers                      N/A
GLCNF             541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0     4.320         -0.231          16.961        13.608  10366026765     Other Industrial Metals & Mining        N/A
FUV               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    19.130          6.278         -14.436        18.926  23517914        Recreational Vehicles                   0.21450001
XPEV              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    38.505          1.570         -19.484       -43.398  347376052       Auto Manufacturers                      N/A
RMO               541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    13.140          4.038         -29.949       -24.665  185943844       Auto Parts                              N/A
CIIC              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    25.000         11.557          -9.318       -72.858  20342278        Shell Companies                         0.0805
CLII              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    16.140          9.424          -4.452       -43.032  N/A             Shell Companies                         N/A
VWAGY             541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    23.768          1.573          11.105       -21.005  N/A             N/A                                     N/A
TPGY              541       0       541       541          0               541                      0         0            0                    0              0                       0              0             0    21.510          1.510         -19.370       -10.702  N/A             Shell Companies                         N/A
GIK               540       0       540       540          0               541                     -1         0            0                    0              0                       0              0             0    12.835          0.195         -13.820       -59.717  N/A             Shell Companies                         N/A
ASRT              514     373       141      -232          5                 0                     42         0            0                    0            338                     134              0             0     0.972          5.597          24.705       -18.462  105434803       Drug Manufacturers—Specialty & Generic  0.0222
CHW               503       0       503       503         16               503                      0         0            0                    0              0                       0              0             0    10.210          1.084           3.699       -44.211  N/A             Asset Management                        0.0023
CHWY              503       0       503       503         16               503                      0         0            0                    0              0                       0              0             0   105.260         -4.117          -0.055       -37.049  77070018        Internet Retail                         0.157
FUD               468       2       466       464          0                 0                      0       469            0                   -1              0                       0              0             0    17.380          1.164           0.000       603.774  N/A             N/A                                     N/A
REAL              437      12       425       413          0                -1                    427         0            0                   11              0                       0              0             0    25.860          4.169           1.185        -4.412  72809433        Specialty Retail                        0.1926
NYC               434     367        67      -300          5                 3                    432         0            0                    0              0                       0             -1             0    10.010          1.935           5.272        19.523  6386622         REIT—Office                             N/A
DIA               429     288       141      -147          0                41                      0       234            0                    0              0                       0            154             0   319.460          1.290           3.003        13.558  N/A             N/A                                     N/A
RKT               405     207       198        -9         40               258                     51         0            0                    0              0                      77             19             0    20.030          0.150          -3.054       -41.155  104277185       Mortgage Finance                        0.3076
ITM               401       0       401       401          0                 0                    401         0            0                    0              0                       0              0             0    51.196         -0.416          -1.653       -35.509  N/A             N/A                                     N/A
MUST              389      86       303       217          5                 0                    389         0            0                    0              0                       0              0             0    22.280         -0.425          -0.983       -56.799  N/A             N/A                                     N/A
FUND              386      71       315       244          0               386                      0         0            0                    0              0                       0              0             0     7.840          2.083           4.357       -23.729  N/A             Asset Management                        0.0016
RIOT              374      80       294       214          0                85                     43         0            0                    0             64                      98             19            65    51.600          5.738          65.207        -7.305  49446718        Software—Application                    0.17940001
AGTC              373     169       204        35          0                 0                     23         2           65                    0              4                     263             16             0     5.768          6.614          13.982        15.988  36253651        Biotechnology                           0.051
IBM               369       5       364       359          0               364                      0         0            0                    5              0                       0              0             0   123.040          1.930          -0.473       -33.886  890939764       Information Technology Services         0.0301
SNOW              364       0       364       364          0               364                      0         0            0                    0              0                       0              0             0   270.715          0.608          -6.889       -63.916  36389674        Software—Application                    0.15640001
ETFM              363     134       229        95          0                 0                     23         0            0                    0            340                       0              0             0     0.017         -1.765        1570.000         0.000  4686808360      Auto & Truck Dealerships                N/A
OSTK              352     288        64      -224          0                 0                     -1       178            0                    0              0                       0            110            65    73.800        -16.270          -5.895       100.248  42109955        Internet Retail                         0.1099
SJM               351       0       351       351          0               351                      0         0            0                    0              0                       0              0             0   113.720         -0.577          -1.686       -39.428  109526714       Packaged Foods                          0.094399996
TSNP              344     249        95      -154          0                 0                     -1         0            0                    0            345                       0              0             0     0.913         -4.428          44.923       -71.649  N/A             Furnishings, Fixtures & Appliances      N/A
TWM               340     340         0      -340          0               340                      0         0            0                    0              0                       0              0             0    14.660         -3.932         -11.324        77.214  N/A             N/A                                     N/A
SYNC              315       0       315       315          0               315                      0         0            0                    0              0                       0              0             0     2.170          0.454          21.678        56.468  27586530        Software—Infrastructure                 0.0011999999
NVDA              312     292        20      -272         12               304                      0         0            0                    0              0                       0              1             7   575.020          1.651           4.421        -0.841  593441490       Semiconductors                          0.0112
SEE               309      61       248       187          6                 0                    309         0            0                    0              0                       0              0             0    43.140         -0.759          -2.993       -33.966  153725900       Packaging & Containers                  0.0167
WORK              306     306         0      -306          0                 0                      0         0            0                    0              0                       0            306             0    42.485          0.153          -0.400       -80.514  472392600       Software—Application                    0.1113
TLRY              305     143       162        19          5                76                     43         4            0                    0              0                      98             19            65    26.770          7.987          18.990       -53.053  143625496       Drug Manufacturers—Specialty & Generic  0.2045
BEST              300     287        13      -274          0                 0                      1        41            0                    0              0                      13              0           245     2.430         -0.829           3.638       -78.437  184980438       Trucking                                N/A
UTHR              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   174.310          1.120           4.261        -6.577  37190950        Biotechnology                           0.045100003
CRWD              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   216.760         -0.746          -2.892       -25.599  184401200       Software—Infrastructure                 0.056799997
PSTG              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0    25.575          0.020           2.731       -30.264  253577814       Computer Hardware                       0.0625
JMP               288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0     6.010         13.183          37.205       -25.195  6283919         Capital Markets                         0.0032
EPAM              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0   369.380         -0.605           2.114       -56.078  54147025        Information Technology Services         0.0124
EOLS              288     288         0      -288          0                 0                      0       178            0                    0              0                       0            110             0    11.500         16.632          78.749         0.145  24469878        Drug Manufacturers—Specialty & Generic  0.1619
DRIP              287       0       287       287          0               287                      0         0            0                    0              0                       0              0             0    11.330         -8.036         -36.768       120.984  N/A             N/A                                     N/A
GOOD              281      16       265       249         13                 2                    266         0            0                    0              0                       0             13             0    19.000          0.317           3.448        -7.693  32880173        REIT—Diversified                        0.0099
APHA              278      80       198       118          0                51                     45         0            0                    0              0                      98             19            65    19.550          8.251          35.726       -28.532  312634213       Drug Manufacturers—Specialty & Generic  N/A
BGI               276     250        26      -224          0                 0                      0         0            0                    0            276                       0              0             0     2.070          6.701          28.454       -52.147  4275632         Luxury Goods                            0.0156
HITI.V            271       0       271       271          0                 0                      0         0            0                    0            271                       0              0             0     0.750         -3.846           0.000         0.000  198900007       Pharmaceutical Retailers                N/A
SSFT              271     251        20      -231          0                 0                      0         0            0                    0            271                       0              0             0     0.296         -0.970          71.662       -20.514  N/A             Information Technology Services         N/A
FUBO              270      80       190       110         36               150                     43         0            0                    0              0                      77              0             0    38.150         -2.003          -3.489       -66.272  53294298        Broadcasting                            0.214
HPNN              270     250        20      -230          0                 0                      0         0            0                    0            270                       0              0             0     0.010        -11.504         229.102        -5.367  N/A             Communication Equipment                 N/A
SANP              259     202        57      -145          0                 0                      0         0            0                    0            259                       0              0             0     0.026         41.209         811.532       256.649  N/A             Software—Infrastructure                 N/A
PLAY              254     184        70      -114          1               116                     81         0            0                    0              0                      57              0             0    41.600          5.210          19.233       -46.786  38935925        Restaurants                             0.21540001
SNGX              235       0       235       235          0                 0                      0         0            0                    0            228                       7              0             0     1.820          5.202          10.126       -29.724  29749986        Biotechnology                           0.0382
ZOM               232     125       107       -18          0                57                      0         0            0                    0             45                     127              3             0     2.075          9.788          50.369       -69.105  526530736       Drug Manufacturers—Specialty & Generic  0.0777
MARA              231      80       151        71          0                 0                     45         0            0                    0              4                      98             19            65    33.640         17.787          28.957       -42.302  45938263        Capital Markets                         0.112799995
SYPR              231      80       151        71          0                 0                     61         0            0                    0              6                      80              6            78     5.390        102.628         121.565     30438.472  9622428         Auto Parts                              0.0018000001
AAA               230       0       230       230          0               230                      0         0            0                    0              0                       0              0             0    25.069         -0.006          -0.213        14.398  N/A             N/A                                     N/A
EOD               229       0       229       229          1                 0                    196         0            0                    0              0                      33              0             0     5.325         -0.281           5.519        -4.945  N/A             Asset Management                        N/A
CORP              228       4       224       220          0                 0                      1         0            3                    0            224                       0              0             0   113.490          0.079          -1.664       -49.868  N/A             N/A                                     N/A
WHEN              228     228         0      -228          4               203                     25         0            0                    0              0                       0              0             0     0.003          0.000          41.886       -57.403  N/A             Software—Application                    N/A
EIC               224       0       224       224          0                 0                      0         0            0                    0            224                       0              0             0    15.500          0.649           2.515       -27.077  N/A                                                     N/A
GSAT              218      62       156        94          0               168                      0         0            0                    0              0                      50              0             0     1.915         14.671          50.439        51.946  513282133       Telecom Services                        0.0596
SOS               217     104       113         9          0                 2                     52        10            0                    0              4                      77              7            65     7.700          0.391          85.674        82.560  N/A             Software—Infrastructure                 N/A
PRO               216     216         0      -216          0               216                      0         0            0                    0              0                       0              0             0    49.385          2.120           8.159       -41.514  37377166        Software—Application                    0.1322
STAY              216     127        89       -38          1                 0                    175         0            0                    0              0                      41              0             0    16.330          2.447           8.847       -34.064  158954056       Lodging                                 0.0114
CCL               216       0       216       216          0               162                      0        54            0                    0              0                       0              0             0    27.368          3.430          31.484        81.475  989848269       Travel Services                         0.103
TIPS              216     216         0      -216          0               216                      0         0            0                    0              0                       0              0             0     0.009         80.000          68.409       -98.622  84673282        Internet Retail                         N/A
CBD               214      92       122        30          0                48                      0         8           47                    0             98                       0             13             0    16.540          0.547          11.367       -49.212  156783223       Department Stores                       N/A
TFSA              212     204         8      -196          0               204                      0         8            0                    0              0                       0              0             0    25.050          0.764           0.857       -33.916  N/A             N/A                                     N/A
IBKR              204     204         0      -204          0               204                      0         0            0                    0              0                       0              0             0    74.810          3.215           8.259       -49.782  75195383        Capital Markets                         0.0297
SHOP              204       0       204       204          0               204                      0         0            0                    0              0                       0              0             0  1306.200          0.458           4.691       -32.894  110779681       Software—Application                    0.0177
COST              204     204         0      -204          0               204                      0         0            0                    0              0                       0              0             0   340.305         -0.539          -5.500        -3.693  441675088       Discount Stores                         0.0082
COMM              204     204         0      -204          0               204                      0         0            0                    0              0                       0              0             0    14.550          5.435          -0.897       -22.667  180795590       Communication Equipment                 0.0308

