date and time now = 21/02/2021 18:31:18
Ticker      24H Total    Recent    Prev    Change    Rockets    wallstreetbets    wallstreetbetsELITE    stocks    investing    SatoshiStreetBets    pennystocks    RobinHoodPennyStocks    StockMarket    Daytrading     Price    1DayChange%    50DayChange%    ChangeVol%  Float Shares    Industry                                Short/Float%
IWO              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   327.070          2.085           4.199        -7.004  N/A             N/A                                     N/A
IVW              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0    66.130         -0.646           1.429       140.331  N/A             N/A                                     N/A
IJT              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   131.000          1.370           4.249       -61.598  N/A             N/A                                     N/A
IJR              1572      1572       0      1572          0                 0                      0      1540            0                    0              0                       0             32             0   105.990          1.698           4.847       -44.518  N/A             N/A                                     N/A
BTT              1513       575     938      -363         22                15                      0         0            0                 1493              0                       5              0             0    25.310         -0.315          -1.385        34.725  N/A             Asset Management                        0.0002
ABC              1445      1445       0      1445          0              1435                      0         0            4                    0              6                       0              0             0   105.870          0.580          -0.108       -22.997  147337251       Medical Distribution                    0.0186
ARE              1394       295    1099      -804         33                75                    799       263            0                    4              5                     234             14             0   166.240         -1.230          -1.488        -4.167  134981353       REIT—Office                             0.0506
BOTH             1333       162    1171     -1009          0                84                     63      1186            0                    0              0                       0              0             0     1.120          0.000          -1.597        81.818  134863          Shell Companies                         N/A
CRSR             1300         5    1295     -1290          0                44                      0       230         1026                    0              0                       0              0             0    39.020          1.430          -2.221       -26.843  26245855        Computer Hardware                       0.0387
TTM              1228        13    1215     -1202          3                72                      0       125         1026                    0              0                       0              5             0    21.430         -2.012          12.970       -32.165  389726980       Auto Manufacturers                      N/A
PSA              1143       768     375       393          1              1070                      0         0            0                    5             68                       0              0             0   234.700         -0.128           3.424       -14.926  151542826       REIT—Industrial                         0.022
